,Receiver,Description,Country,Year,Grant Size (DKK),Category
185,Hand in Hand India,"COVID-19 respons - Beskyttelsesudstyr til
sanitetsarbejdere",Indien,2020,191,Community Engagement         
186,Hand in Hand India,"COVID-19 respons - Beskyttelsesudstyr til
sundhedsarbejdere og politi",Indien,2020,107,Community Engagement         
187,NalandaWay Foundation,"COVID-19 respons - Karapakkam School -
nødrationer",Indien,2020,12,Community Engagement         
188,SOS Børnebyer,COVID-19 respons - Nødrationer til 8 børnebyer,Filippinerne,2020,270,Community Engagement         
189,National Business Initiative,COVID-19 respons - Opstilling af håndvaske,Sydafrika,2020,639,Community Engagement         
190,GiveBackGhana,"COVID-19 respons - Agbogbloshie slummen -
nødrationer",Ghana,2020,149,Community Engagement         
191,Genesis Trust,COVID-19 respons - Sydafrika - nødrationer,Sydafrika,2020,223,Community Engagement         
192,The Patient Care Foundation,"COVID-19 respons - Beskyttelsesudstyr og
træning af medarbejdere",Ungarn,2020,433,Community Engagement         
193,Domov Sluenice Ostrava,COVID-19 respons - Rent vand til seniorboliger,Tjekkiet,2020,34,Community Engagement         
194,Residential care institution Kulina,COVID-19 respons - Bedre vand og spilde- vandsrensning på plejehjem,Serbien,2020,235,Community Engagement         
195,ACE Charity,"COVID-19 respons - Fjernundervisning via
radio I",Nigeria,2020,316,Community Engagement         
196,Hand in Hand India,"COVID-19 respons - Vadsar og Moti Bhoyan
- nødrationer",Indien,2020,142,Community Engagement         
197,ACT Foundation,"COVID-19 respons - Beskyttelsesudstyr til
hospitaler i Jakarta",Indonesien,2020,35,Community Engagement         
198,Brookwood Community,"COVID-19 respons - Beskyttelses- og
sundhedsudstyr samt driftstilskud",USA,2020,700,Community Engagement         
199,Saint Barbara Hospital,"COVID-19 respons - Træning og elektriske
installationer",Ungarn,2020,234,Community Engagement         
200,Zhytomyr Water Utility Company,Sikring af vandforsyning til Zhytomyr,Ukraine,2020,169,Community Engagement         
201,The Andando Foundation,Batana Wolof (andelsmarkedshaver for kvinder),Senegal,2020,321,Community Engagement         
202,vision:teilen,"COVID-19 respons - Godnatbus for hjemløse
- Düsseldorf",Tyskland,2020,159,Community Engagement         
203,Fundación NuevaLife,Bæredygtig vandforsyning og hygiejnetræning,Colombia,2020,127,Community Engagement         
204,Water Institute of Southern Africa,COVID-19 respons - Produktion af visirer,Sydafrika,2020,121,Community Engagement         
205,Proyecto Agua Segura,"COVID-19 respons - Hygiejnetræning via 70
community centre",Uruguay,2020,631,Community Engagement         
206,Assist Asia,"Water supply disease prevention in Baseco
compound, Manila","Filippin-
erne",2020,922,Community Engagement         
207,"FANT, football for a new tomorrow",Sportsaktiviteter for unge handicappede,Ghana og Sierra Leone,2020,218,Community Engagement         
208,Sefras,"COVID-19 respons - Nødrationer til udsatte, São Paulo",Brasilien,2020,961,Community Engagement         
209,Generosity Global,Rent vand til Bepanda Community,Cameroun,2020,185,Community Engagement         
