,Year,Reciever,Grant size (DKK),Description,Institution,Grant Number,Project Category
1430,"År
2020",Hans Kjeldsen,"Beløb
DKK 1,000,000",Improving the science quality of the Hertzsprung SONG telescope in the Stellar Observations Network Group,"Institution
Aarhus University",1431,Research Infrastructure
1431,"År
2020",Thomas Blunier,"Beløb
DKK 562,000",Highest resolution trace gas measurements from ice cores,"Institution
University of Copenhagen",1432,Research Infrastructure
1432,"År
2020",Jacob Svensmark,"Beløb
DKK 1,090,111",Assessing the influence of cosmic rays on clouds,"Institution
University of Oxford",1433,Visiting Fellowships at University of Oxford
1433,"År
2020",Magnus Tolum Buus,"Beløb
DKK 820,000",Optimal Trade Policies and Global Supply Chains,"Institution
University College London",1434,Internationalisation Fellowships
1434,"År
2020",Katrine Worsaae,"Beløb
DKK 285,332","Uncovering the hidden, augmenting molecular survey methods to detect cryptic diversity in marine high biodiversity ecosystems","Institution
University of Copenhagen",1435,"Field Trips / Research Stays >100,000"
1435,"År
2020",Tom Vosch,"Beløb
DKK 250,000",Instrumentation for investigation of new near infrared emitters,"Institution
University of Copenhagen",1436,Research Infrastructure
1436,"År
2020",Kristoffer Szilas,"Beløb
DKK 400,000",The lost art of petrography in geosciences,"Institution
University of Copenhagen",1437,Research Infrastructure
1437,"År
2020",Joachim Weischenfeldt,"Beløb
DKK 1,241,000",Long-read sequencing to explore fundamental mechanisms in biology and disease,"Institution
University of Copenhagen",1438,Research Infrastructure
1438,"År
2020",Peter Uhd Jepsen,"Beløb
DKK 1,000,000",Deep sub-wavelength conductivity mapping of nanoscale domains in 2D materials DEEP-MAP,"Institution
Technical University of Denmark",1439,Research Infrastructure
1439,"År
2020",Alyssa Maxwell,"Beløb
DKK 1,547,524",From chirps to complex songs: The evolution of vocal complexity in songbirds,"Institution
Manchester Metropolitan University, UK",1440,Internationalisation Fellowships
1440,"År
2020",Daniel Russo,"Beløb
DKK 150,000",Predicting Effective Digital Transformation Factors for SMEs in a Pandemic,"Institution
Aalborg University",1441,Research Infrastructure
1441,"År
2020",Jens Villiam Hoff,"Beløb
DKK 81,500",Pandemiens paavirkning af danskernes miljoeadfaerd og holdninger til klima,"Institution
University of Copenhagen",1442,Research Infrastructure
1442,"År
2020",Maja Gildin Zuckerman,"Beløb
DKK 1,277,707","The Parameters of Terror: The Copenhagen Shootings and the Renegotiations of Danish Cultural Codes in the Civil Sphere, 2015-2020","Institution
None coming from post.doc at Stanford University .",1443,Reintegration Fellowships
1443,"År
2020",Ditlev Egeskov Brodersen,"Beløb
DKK 350,000",Understanding the molecular basis of NAD-depleting toxins in bacteria,"Institution
Aarhus University",1444,Research Infrastructure
1444,"År
2020",Christian Høgel,"Beløb
DKK 788,574",Infrastructure for Multi- and Hyperspectral Image Acquisition,"Institution
University of Southern Denmark",1445,Research Infrastructure
1445,"År
2020",Simon Vilms Pedersen,"Beløb
DKK 930,000",Towards monitoring and characterization of brain organoid morphology and cellular interactions by entropy-driven volumetric imaging,Institution,1446,Internationalisation Fellowships
1446,"År
2020",Peter Sandholt Jensen,"Beløb
DKK 82,309",Socio-economic Effects of Vaccines (SEV) Research Infrastructure,"Institution
University of Southern Denmark",1447,Research Infrastructure
