,Title,Grant size (DKK),Receiver,Project_category,Project_subcategory
1321,Midt-infrarød Silicium Fotonik Chips til Optiske Interconnects (Mid-Chip) (2016),5800000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1322,Novel aspects of lanthanide magnetism for quantum information applications (2016),4000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1323,Skillevej for inflationsteori: Afdækning af universets oprindelse (2016),2900000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1324,T-RAYS - Chipskala integrerede terahertz phased array kilder (2016),6000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1325,Udvidelse af Kvælstof Cyklus: Mangfoldighed og Økologi af Comammox Bakterier (2016),5300000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1326,Undersøgelser af den nye verden af cirkulære RNAer (2016),5300000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1327,Molekylære mekanismer bag genkendelse af fremmed RNA i planter og deres betydning for antiviral immunitet (2016),5900000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1328,Nesting a brighter future for children (2016),7500000,United Way Romania,Unge og uddannelse i Europa,Unge og uddannelse i Europa
1329,And they lived happily ever after (2016),8300000,"Stowarzyszenie Pomocy Osobom Autystycznym ""Dalej Razem""",Unge og uddannelse i Europa,Unge og uddannelse i Europa
1330,"Media Center at Lurup Neighborhood School, Hamburg (2016)",15000000,Schulbau Hamburg,Kultur og samfund,Andre projekter
1331,Development Officer til Niels Bohr Internationale Akademi (2016),500000,Københavns Universitet,Kultur og samfund,Andre projekter
1332,Anvendelse af lipider som et alternativ til fosfatholdige gødninger (2016),2500000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1333,Mekaniske egenskaber af glas: Strukturelle årsager og udvikling (2016),10000000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1334,Oprindelsen af kosmiske eksplosioner (2016),3800000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1335,Visualization of the Atomic-scale Structure of Catalytic Surfaces in Reactive Atmospheres (2016),5500000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1336,"miGENEPI: Evaluering af virkningen af nye selektive pres på GENomer, EPIgenomer og MIkrobiota. (2016)",6000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1337,Social Recognition and Foraging strategies of Sperm Whale Clans (2016),2700000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1338,Udgør sub-mesoskala oceanografiske fronter vigtige spredningsbarrierer for fytoplankton? (2016),3400000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1339,The big step into the circle of life (2016),4600000,SED- Velky Slavkov,Unge og uddannelse i Europa,Unge og uddannelse i Europa
1340,Establishing a Training and Production Centre for Youth Participation and Sustainable Agriculture in Bulgaria (2016),7500000,Botanica Life Foundation,Unge og uddannelse i Europa,Unge og uddannelse i Europa
1341,Migrants’ Job Center (2016),3800000,ARCA Romanian Forum for Refugees and Migrants,Unge og uddannelse i Europa,Unge og uddannelse i Europa
1342,VILLUM Center for Science of Sustainable Fuels and Chemicals (2016),150000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1343,VILLUM Centre of Excellence - Dirac Materials (2016),33000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1344,Udvidelse / sammenlægning på Bornholms Kunstmuseum - Herunder etablering af nyt museum for lyskunst (2016),45000000,Bornholms Kunstmuseum,Kultur og samfund,Andre projekter
1345,Creation of an aftercare and training centre (ACTC) (2016),10000000,Equal Chances Foundation,Unge og uddannelse i Europa,Unge og uddannelse i Europa
1346,Guarded Homotopy Type Theory (2016),3300000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1347,Extreme resolution Raman-AFM bio-imaging of wood under decay - learning wood protection from trees (2016),5300000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1348,Restaurering af Kapellet (2016),4000000,Gentofte Hospital,Kultur og samfund,Andre projekter
