,Title,Project Category,Receiver Name,Grant size (DKK)
115,FødevareBanken videre ud på Sjælland - anskaffelse af elkølebil (2024),Voksenlivets overgange og forandringer,Foreningen Fødevarebanken,430.000 kr.
116,Mangfoldige seniorfællesskaber (2024),Voksenlivets overgange og forandringer,Dansk Flygtningehjælp,"2,3 mio. kr."
117,Fra udsathed til inklusion (2024),Sociale indsatser,Foreningen Menneskebiblioteket,"3,9 mio. kr."
118,En ekstra hånd - Udvikling af model for skabelse af småjobs på fleksible vilkår i den almene sektor (2024),Sociale indsatser,fsb - Lejeboliger i Hovedstaden,"3,2 mio. kr."
119,BackUp (2024),Sociale indsatser,Røde Kors,5 mio. kr.
120,Kvalitet i demensomsorgen gennem implementering af personafstemte musikalske interaktioner (PAMI) (2024),Velux Fonden,Aalborg Universitet,"2,8 mio. kr."
121,Kvalitet i demensomsorgen gennem implementering af personafstemte musikalske interaktioner (PAMI) (2024),Human- og samfundsvidenskabelig forskning og kultur,Aalborg Universitet,"2,8 mio. kr."
122,Fodbold for fremtiden 2.0 (2024),Sociale indsatser,DBU Sjælland,"5,9 mio. kr."
123,Bogudgivelse: Musik og Liturgi - en praksis-orienteret liturgisk-musikalsk oversigt over højmessen (2024),Voksenlivets overgange og forandringer,Forlaget Eksistensen,22.000 kr.
124,Bogudgivelse: HesselsVenner 50 år (2024),Voksenlivets overgange og forandringer,Støtteforeningen Hessels Venner,20.000 kr.
125,Ærø Litteratur Festival (2024),Voksenlivets overgange og forandringer,Ærø Litteratur Festival,30.000 kr.
126,Nyt system til kortblanding og turneringsafvikling (2024),Voksenlivets overgange og forandringer,Helsinge Bridgeklub,15.000 kr.
127,Nyt klubhus efter oktoberstormen 2023 (2024),Voksenlivets overgange og forandringer,Foreningen Bøgeskov Havn,75.000 kr.
128,Stenhuggerborde (2024),Voksenlivets overgange og forandringer,"Foreningen Kunstnergården, Dianalund",30.000 kr.
129,Anskaffelse af flagermusdetektor og - logger (2024),Voksenlivets overgange og forandringer,DN Vesthimmerland,66.300 kr.
130,Anskaffelse af hejseværker til både (2024),Voksenlivets overgange og forandringer,Sydslesvigs Danske Ungdomsforeninger,100.000 kr.
131,Hjemmeside: Levende Stene (2024),Voksenlivets overgange og forandringer,Forlaget Heine,30.000 kr.
132,Litterært Folkemøde - festival for de klassiske danske forfattere (2024),Voksenlivets overgange og forandringer,Herman Bang Selskabet,50.000 kr.
133,Indkøb af billardbord (2024),Voksenlivets overgange og forandringer,Billardklubben Maribo,20.000 kr.
134,Indkøb af robottræner til afdelingen for bordtennis (2024),Voksenlivets overgange og forandringer,ABS - Aktive Birkerød Seniorer,14.000 kr.
135,Anskaffelse af tablet til afspilning af musik (2024),Voksenlivets overgange og forandringer,Biersted Folkedanserforening,5.000 kr.
136,Udskiftning af to billardborde (2024),Voksenlivets overgange og forandringer,Herlev Billard Klub.,30.000 kr.
