,Receiver,Description,Grant size (DKK),Year
42,Kata Fonden 2015,KATA Fonden har modtaget 17 mio. kr. over fem år som støtte til Science Skole initiativet LEAPS.,17 mio. kr.,2015
43,Projekt Asylcenter 2015,"Projekt Asylcenter har modtaget 1,3 mio. kr. til at etablere initiativer, der sikrer asylansøgernes arbejdsparathed og erhvervslivskendskab i Sønderborg-området.","1,3 mio. kr.",2015
44,Contemporary Pavilions,Contemporary Pavilions har modtaget 789.000 kr. til færdiggørelse af et beslutningsoplæg om Kunst- og Arkitekturprojekt på havneområdet.,789000,2015
45,Sønderborg Vækstråd,"Sønderborg Vækstråd har modtaget 750.000 kr. til et stipendiat på SDU Sønderborg, der giver mulighed for et semester på MIT i USA.",750000,2015
46,Green Water Project,Green Water projekt på SDU har modtaget 700.000 kr. til fase 2. Green Water anvender havvand som termisk reservoir.,700000,2015
47,Schackenborg Fonden,Schackenborg Fonden har modtaget 650.000 kr. til udarbejdelse af en hjemmeside og et koncept for fremtidige arrangementer på slottet.,650000,2015
48,SønderjyskE Håndbold 2015,SønderjyskE Håndbold i Sønderborg har modtaget 500.000 kr. i støtte.,500000,2015
49,Sønderborg Vækstråd - iværksætteri,Sønderborg Vækstråd har modtaget 500.000 kr. til at øge indsatsen for iværksætteri i kommunen.,500000,2015
50,Engineer the Future,Foreningen 'Engineer the Future' har modtaget 375.000 kr. til at fremme interesse for ingeniørfagene og etablere en teknologisk alliance i Danmark.,375000,2015
51,Florida State University,Florida State University har modtaget 373.720 kr. til videreførsel af microjet centrifugal teknologi projekt i partnerskab med Danfoss Turbocor.,373720,2015
52,Descendenter Bitten og Mads Clausen,Descendenter efter Bitten og Mads Clausen har modtaget 304.000 kr. til uddannelsesstøtte.,304000,2015
53,Syddansk Universitet,Syddansk Universitet i Sønderborg har modtaget 300.000 kr. til en analyse af Sønderborg som uddannelsesby for at kortlægge tiltag til at tiltrække studerende.,300000,2015
54,SønderjyskE Ishockey,SønderjyskE Ishockey har modtaget 100.000 kr. til flyvning til udekampe i Champions Hockey League.,100000,2015
55,Danfoss medarbejder,En Danfoss medarbejder har modtaget 50.000 kr. som støtte til medarbejdere og deres familier under ekstraordinære omstændigheder.,50000,2015
56,Kongelig våbenmaler,Kongelig våbenmaler Ronny Andersen har modtaget 50.000 kr. til udarbejdelse af et nyt emblem til brug for Nord- og Sydslesvig.,50000,2015
57,Fabrikant Mads Clausens Fond 2016,Fabrikant Mads Clausens Fond har modtaget 10 mio. kr. til uddeling til almenvelgørende formål.,10 mio. kr.,2016
58,DTU Institut for Management Engineering,"UNEP, DTU Partnership har modtaget 9 mio. kr. til projektet ""SE4ALL – Sustainable Energy for All"" under FN's bæredygtighedsprogram i samarbejde med DTU.",9 mio. kr.,2016
