,Year,Reciever,Grant size (DKK),Description,Project Category
6885,2013,"Dagplejen Frederikshavn Kommune, Nordjylland",10.000 kr.,Cykelhjelme til dagplejen,GAMMELT
6886,2013,"Brønderslev Kommune, Nordjylland",300.000 kr.,Kontingent og udstyr til børn,GAMMELT
6887,2013,"Aalborg Søspejder under det Danske Spejderkorps, Nordjylland",12.790 kr.,Søsikkerhedsnødudstyr,GAMMELT
6888,2013,"Klejtrup Friplejehjem, Nordjylland",45.000 kr.,Duocykel,GAMMELT
6889,2013,"Dansk Broder Orden, Nordjylland",5.000 kr.,Varmeskab til hjertestarter,GAMMELT
6890,2013,"Universitarium, Aalborg Universitet, Nordjylland",50.000 kr.,Brandfarlige forsøg for børn,GAMMELT
6891,2013,"DGI Nordvest, Nordjylland",407.370 kr.,SMART sport år 2,GAMMELT
6892,2013,"Krabbens Dagbeskæftigelse, Nordjylland",91.250 kr.,Motionsredskaber,GAMMELT
6893,2013,"Morselejren, Ungdommens Røde Kors, Nordjylland",10.000 kr.,Morselejren - for udsatte børn,GAMMELT
6894,2013,"AK-dagtilbud, Værkstedet i Hammer Bakker, Nordjylland",46.875 kr.,Anskaffelse af robotsæl (PARO),GAMMELT
6895,2013,"Gadecaféen, Midtjylland",369.232 kr.,Gadecaféen,GAMMELT
6896,2013,"Løgstør Brandmandsforening , Nordjylland",55.760 kr.,Udstyr til Redningsbåd.,GAMMELT
6897,2013,"AU Library, Campus Emdrup, Aarhus Universitet, Landsdækkende",2.500.000 kr.,Fest & temauge på alle skoler,GAMMELT
6898,2013,"Netværkscafeen (sind) Thisted, Nordjylland",32.898 kr.,Indkøb af motionsudstyr,GAMMELT
6899,2013,"Aarhus Universitetshospital, Landsdækkende",3.700.000 kr.,Behandling til helbredsangst,GAMMELT
6900,2013,"Aktive pensionister i Tranbjerg, Midtjylland",15.000 kr.,Indkøb af motionscykel,GAMMELT
6901,2013,"Nykøbing Mors Roklub, Nordjylland",16.800 kr.,Indkøb af sikkerhedsudstyr,GAMMELT
6902,2013,"Krabbens Dagbeskæftigelse, Nordjylland",9.391 kr.,Sansestimulerende udstyr,GAMMELT
6903,2013,"Hirtshals Skolecenter, Nordjylland",5.500 kr.,Et klassesæt af redningsveste,GAMMELT
6904,2013,"Idrætscenter Østermarken, Nordjylland",10.000 kr.,Hjertestarterkursus,GAMMELT
6905,2013,"Hedegårdsskolen, Nordjylland",7.500 kr.,Cykelhjelme,GAMMELT
6906,2013,"Røde Kors, Midtjylland",40.000 kr.,"Indkøb af ""ambulancebåre""",GAMMELT
6907,2013,"KFUM spejderne i Rakkeby, Nordjylland",5.500 kr.,Køb af redningsveste,GAMMELT
6908,2013,"KFUM spejderne i Saltum, Nordjylland",10.000 kr.,Ansøgning om redningsveste,GAMMELT
6909,2013,"Psykiatrien i Region Nordjylland, Nordjylland",239.040 kr.,Podcast til yngre psykisk syge,GAMMELT
6910,2013,"Dch Frederikshavn, Nordjylland",7.200 kr.,Førstehjælpskursus,GAMMELT
6911,2013,"Café Parasollen, Midtjylland",12.000 kr.,mænd og motion på væresteder,GAMMELT
6912,2013,"Nordjyllands Politi, Lokalpoliti Aalborg., Nordjylland",6.000 kr.,Cyklistprøver,GAMMELT
6913,2013,"Fritidshuset Dall Villaby, Nordjylland",8.725 kr.,Kursus i brug af hjertestarter,GAMMELT
6914,2013,"Fodboldklubben NUBI, Nordjylland",2.000 kr.,Kursus i brug af Hjertestarter,GAMMELT
6915,2013,"MIB - Men In Bugs, Nordjylland",5.000 kr.,førstehjælpskursus,GAMMELT
6916,2013,"Hou kajakklub, Nordjylland",33.000 kr.,Førstehjælp m. Hjertestarter,GAMMELT
6917,2013,"Limfjordsmuseet, Nordjylland",7.750 kr.,Indkøb af redningsveste,GAMMELT
6918,2013,"Bjerget Efterskole, Nordjylland",10.000 kr.,Indkøb af redningsveste m.m,GAMMELT
6919,2013,"Spejderne i vestervig, Nordjylland",10.700 kr.,Førstehjælpskursus+taske,GAMMELT
6920,2013,"Frederikshavn Openwater, Nordjylland",11.000 kr.,Indkøb af cylinderbøjer+ankre,GAMMELT
6921,2013,"De Studerendes Erhvervskontakt, Aalborg Universite, Nordjylland",9.596 kr.,Førstehjælpskursus,GAMMELT
6922,2013,"Ungdommens Røde Kors, Nordjylland",30.000 kr.,Ungdomslejr URK,GAMMELT
6923,2013,"Forening, Sydmors Skole Og Børnehus´ Venner, Nordjylland",4.250 kr.,Indkøb af Cykelhjelme,GAMMELT
6924,2013,"Foreningen Sundhed og Trivsel, Nordjylland",100.000 kr.,Pust for Livet,GAMMELT
6925,2013,"Struer Sø, DDS sø-gruppe, Midtjylland",5.200 kr.,indkøb af VHF radioer,GAMMELT
6926,2013,"Frederikshavn Kommune. , Nordjylland",225.000 kr.,Frisk i naturen.,GAMMELT
